Restaurant,City,State/Province,Country,Original Air Date
Mac & Ernie's Roadside Eatery,Tarpley,Texas,United States of America,2007-04-23
Brint's Diner,Wichita,Kansas,United States of America,2007-04-23
The Mad Greek Cafe,Baker,California,United States of America,2007-04-23
Pizza Palace,Knoxville,Tennessee,United States of America,2007-04-30
Hullabaloo Diner,Wellborn,Texas,United States of America,2007-04-30
Four Kegs Sports Pub,Las Vegas,Nevada,United States of America,2007-04-30
Patrick's Roadhouse,Santa Monica,California,United States of America,2007-05-07
Frosted Mug,Alsip,Illinois,United States of America,2007-05-07
The Penguin,Charlotte,North Carolina,United States of America,2007-05-07
Frank's Diner,Kenosha,Wisconsin,United States of America,2007-05-21
Gaffey Street Diner,San Pedro,California,United States of America,2007-05-21
The Coffee Cup,Boulder City,Nevada,United States of America,2007-05-21
Baby Blues BBQ,Venice,California,United States of America,2007-05-28
Louie Mueller BBQ,Taylor,Texas,United States of America,2007-05-28
Barbecue King Drive-In,Charlotte,North Carolina,United States of America,2007-05-28
A1 Diner,Gardiner,Maine,United States of America,2007-06-04
Leo's BBQ,Oklahoma City,Oklahoma,United States of America,2007-06-04
Eveready Diner,Hyde Park,New York,United States of America,2007-06-04
Squeeze Inn,Sacramento,California,United States of America,2007-06-11
Hackney's,Glenview,Illinois,United States of America,2007-06-11
Triple XXX Restaurant,West Lafayette,Indiana,United States of America,2007-06-11
Voula's Offshore Café,Seattle,Washington,United States of America,2007-06-18
Hank's Creekside Restaurant,Santa Rosa,California,United States of America,2007-06-18
Red Arrow Diner,Manchester,New Hampshire,United States of America,2007-06-18
Byways Cafe,Portland,Oregon,United States of America,2007-07-09
South Side Soda Shop and Diner,Goshen,Indiana,United States of America,2007-07-09
Taylor's Automatic Refresher,St. Helena,California,United States of America,2007-07-09
Mo Gridder's BBQ,Bronx,New York,United States of America,2007-07-16
Big Star Diner,Bainbridge Island,Washington,United States of America,2007-07-16
Harold's Café,Gaffney,South Carolina,United States of America,2007-07-16
Kelly's Diner,Somerville,Massachusetts,United States of America,2007-07-23
Bay Way Diner,Linden,New Jersey,United States of America,2007-07-23
Beacon Drive-In,Spartanburg,South Carolina,United States of America,2007-07-23
Rosie's Diner,Rockford,Michigan,United States of America,2007-07-30
The Russian River Pub,Forestville,California,United States of America,2007-07-30
Al's Breakfast,Minneapolis,Minnesota,United States of America,2007-07-30
